Material                   , Composition, Energy Above Hull (eV/atom), Surface Area (A^2), Surface Area (cm^2)  , Site    , Orientation, Adsorption Complex                            , Adsorption Energy (eV), Gibbs free energy (eV), i0
USPEX_VARIABLE_W-N-2D_2403 , W3N2       ,       0.02319263166666552  ,  72.71102373657446, 7.271102373657445e-15, bridge_2, ALONG_Z    , USPEX_VARIABLE_W-N-2D_2403_H_bridge_2_along_z , 0.470432695000        , 0.835432695000        , 
USPEX_VARIABLE_W-N-2D_2403 , W3N2       ,       0.02319263166666552  ,  72.71102373657446, 7.271102373657445e-15, bridge_3, ALONG_Z    , USPEX_VARIABLE_W-N-2D_2403_H_bridge_3_along_z ,                       ,                       , 
USPEX_VARIABLE_W-N-2D_2403 , W3N2       ,       0.02319263166666552  ,  72.71102373657446, 7.271102373657445e-15, hollow_0, ALONG_Z    , USPEX_VARIABLE_W-N-2D_2403_H_hollow_0_along_z , -0.752779515000       , -0.387779515000       , 
USPEX_VARIABLE_W-N-2D_2403 , W3N2       ,       0.02319263166666552  ,  72.71102373657446, 7.271102373657445e-15, hollow_1, ALONG_Z    , USPEX_VARIABLE_W-N-2D_2403_H_hollow_1_along_z , -0.742335695000       , -0.377335695000       , 
USPEX_VARIABLE_W-N-2D_2403 , W3N2       ,       0.02319263166666552  ,  72.71102373657446, 7.271102373657445e-15, ontop_0 , ALONG_Z    , USPEX_VARIABLE_W-N-2D_2403_H_ontop_0_along_z  , -0.759456365000       , -0.394456365000       , 
USPEX_VARIABLE_W-N-2D_2403 , W3N2       ,       0.02319263166666552  ,  72.71102373657446, 7.271102373657445e-15, ontop_1 , ALONG_Z    , USPEX_VARIABLE_W-N-2D_2403_H_ontop_1_along_z  , 0.470856055000        , 0.835856055000        , 
USPEX_VARIABLE_W-N-2D_2971 , W5N3       ,       0.0                  ,  77.61469037111182, 7.761469037111182e-15, bridge_0, ALONG_Z    , USPEX_VARIABLE_W-N-2D_2971_H_bridge_0_along_z , -2.022134635000       , -1.657134635000       , 
USPEX_VARIABLE_W-N-2D_2971 , W5N3       ,       0.0                  ,  77.61469037111182, 7.761469037111182e-15, bridge_1, ALONG_Z    , USPEX_VARIABLE_W-N-2D_2971_H_bridge_1_along_z , -2.014053745000       , -1.649053745000       , 
USPEX_VARIABLE_W-N-2D_2971 , W5N3       ,       0.0                  ,  77.61469037111182, 7.761469037111182e-15, bridge_2, ALONG_Z    , USPEX_VARIABLE_W-N-2D_2971_H_bridge_2_along_z , -2.047802055000       , -1.682802055000       , 
USPEX_VARIABLE_W-N-2D_2971 , W5N3       ,       0.0                  ,  77.61469037111182, 7.761469037111182e-15, hollow_0, ALONG_Z    , USPEX_VARIABLE_W-N-2D_2971_H_hollow_0_along_z , -1.550948665000       , -1.185948665000       , 
USPEX_VARIABLE_W-N-2D_2971 , W5N3       ,       0.0                  ,  77.61469037111182, 7.761469037111182e-15, hollow_1, ALONG_Z    , USPEX_VARIABLE_W-N-2D_2971_H_hollow_1_along_z , -2.018630415000       , -1.653630415000       , 
USPEX_VARIABLE_W-N-2D_2971 , W5N3       ,       0.0                  ,  77.61469037111182, 7.761469037111182e-15, ontop_0 , ALONG_Z    , USPEX_VARIABLE_W-N-2D_2971_H_ontop_0_along_z  , -2.077168995000       , -1.712168995000       , 
USPEX_VARIABLE_W-N-2D_2971 , W5N3       ,       0.0                  ,  77.61469037111182, 7.761469037111182e-15, ontop_1 , ALONG_Z    , USPEX_VARIABLE_W-N-2D_2971_H_ontop_1_along_z  , -1.601697065000       , -1.236697065000       , 
USPEX_VARIABLE_W-N-2D_3035 , W2N5       ,       0.0034949928571439415,  75.83137618868581, 7.58313761886858e-15 , bridge_0, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3035_H_bridge_0_along_z , 1.674884105000        , 2.039884105000        , 
USPEX_VARIABLE_W-N-2D_3035 , W2N5       ,       0.0034949928571439415,  75.83137618868581, 7.58313761886858e-15 , bridge_1, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3035_H_bridge_1_along_z , 0.798032805000        , 1.163032805000        , 
USPEX_VARIABLE_W-N-2D_3035 , W2N5       ,       0.0034949928571439415,  75.83137618868581, 7.58313761886858e-15 , bridge_2, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3035_H_bridge_2_along_z , 0.566402335000        , 0.931402335000        , 
USPEX_VARIABLE_W-N-2D_3035 , W2N5       ,       0.0034949928571439415,  75.83137618868581, 7.58313761886858e-15 , bridge_3, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3035_H_bridge_3_along_z , 0.820772075000        , 1.185772075000        , 
USPEX_VARIABLE_W-N-2D_3035 , W2N5       ,       0.0034949928571439415,  75.83137618868581, 7.58313761886858e-15 , hollow_0, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3035_H_hollow_0_along_z , 0.584855445000        , 0.949855445000        , 
USPEX_VARIABLE_W-N-2D_3035 , W2N5       ,       0.0034949928571439415,  75.83137618868581, 7.58313761886858e-15 , hollow_1, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3035_H_hollow_1_along_z , 0.586906225000        , 0.951906225000        , 
USPEX_VARIABLE_W-N-2D_3035 , W2N5       ,       0.0034949928571439415,  75.83137618868581, 7.58313761886858e-15 , hollow_2, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3035_H_hollow_2_along_z , 0.794293215000        , 1.159293215000        , 
USPEX_VARIABLE_W-N-2D_3035 , W2N5       ,       0.0034949928571439415,  75.83137618868581, 7.58313761886858e-15 , hollow_3, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3035_H_hollow_3_along_z , 0.804836595000        , 1.169836595000        , 
USPEX_VARIABLE_W-N-2D_3035 , W2N5       ,       0.0034949928571439415,  75.83137618868581, 7.58313761886858e-15 , ontop_0 , ALONG_Z    , USPEX_VARIABLE_W-N-2D_3035_H_ontop_0_along_z  , 0.590081845000        , 0.955081845000        , 
USPEX_VARIABLE_W-N-2D_3035 , W2N5       ,       0.0034949928571439415,  75.83137618868581, 7.58313761886858e-15 , ontop_1 , ALONG_Z    , USPEX_VARIABLE_W-N-2D_3035_H_ontop_1_along_z  , 0.828575915000        , 1.193575915000        , 
USPEX_VARIABLE_W-N-2D_3596 , W2N        ,       0.018809172666667706 ,  78.15452824217245, 7.815452824217244e-15, bridge_0, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3596_H_bridge_0_along_z , -0.730955115000       , -0.365955115000       , 
USPEX_VARIABLE_W-N-2D_3596 , W2N        ,       0.018809172666667706 ,  78.15452824217245, 7.815452824217244e-15, bridge_1, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3596_H_bridge_1_along_z , -0.732039585000       , -0.367039585000       , 
USPEX_VARIABLE_W-N-2D_3596 , W2N        ,       0.018809172666667706 ,  78.15452824217245, 7.815452824217244e-15, bridge_2, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3596_H_bridge_2_along_z , -0.730851715000       , -0.365851715000       , 
USPEX_VARIABLE_W-N-2D_3596 , W2N        ,       0.018809172666667706 ,  78.15452824217245, 7.815452824217244e-15, bridge_3, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3596_H_bridge_3_along_z , -0.731577225000       , -0.366577225000       , 
USPEX_VARIABLE_W-N-2D_3596 , W2N        ,       0.018809172666667706 ,  78.15452824217245, 7.815452824217244e-15, bridge_4, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3596_H_bridge_4_along_z , -0.731188025000       , -0.366188025000       , 
USPEX_VARIABLE_W-N-2D_3596 , W2N        ,       0.018809172666667706 ,  78.15452824217245, 7.815452824217244e-15, bridge_5, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3596_H_bridge_5_along_z , -0.730875205000       , -0.365875205000       , 
USPEX_VARIABLE_W-N-2D_3596 , W2N        ,       0.018809172666667706 ,  78.15452824217245, 7.815452824217244e-15, hollow_0, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3596_H_hollow_0_along_z , -0.732197535000       , -0.367197535000       , 
USPEX_VARIABLE_W-N-2D_3596 , W2N        ,       0.018809172666667706 ,  78.15452824217245, 7.815452824217244e-15, hollow_1, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3596_H_hollow_1_along_z , -0.731650435000       , -0.366650435000       , 
USPEX_VARIABLE_W-N-2D_3596 , W2N        ,       0.018809172666667706 ,  78.15452824217245, 7.815452824217244e-15, hollow_2, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3596_H_hollow_2_along_z , -0.731324445000       , -0.366324445000       , 
USPEX_VARIABLE_W-N-2D_3596 , W2N        ,       0.018809172666667706 ,  78.15452824217245, 7.815452824217244e-15, hollow_3, ALONG_Z    , USPEX_VARIABLE_W-N-2D_3596_H_hollow_3_along_z , -0.731627425000       , -0.366627425000       , 
USPEX_VARIABLE_W-N-2D_3596 , W2N        ,       0.018809172666667706 ,  78.15452824217245, 7.815452824217244e-15, ontop_0 , ALONG_Z    , USPEX_VARIABLE_W-N-2D_3596_H_ontop_0_along_z  , -0.731862265000       , -0.366862265000       , 
USPEX_VARIABLE_W-N-2D_3596 , W2N        ,       0.018809172666667706 ,  78.15452824217245, 7.815452824217244e-15, ontop_1 , ALONG_Z    , USPEX_VARIABLE_W-N-2D_3596_H_ontop_1_along_z  , -0.321365805000       , 0.043634195000        , 
USPEX_VARIABLE_W-N-2D_4683 , W3N        ,       0.00948463175000036  ,  70.80091349089676, 7.080091349089676e-15, bridge_0, ALONG_Z    , USPEX_VARIABLE_W-N-2D_4683_H_bridge_0_along_z , -1.180504155000       , -0.815504155000       , 
USPEX_VARIABLE_W-N-2D_4683 , W3N        ,       0.00948463175000036  ,  70.80091349089676, 7.080091349089676e-15, bridge_1, ALONG_Z    , USPEX_VARIABLE_W-N-2D_4683_H_bridge_1_along_z , -0.261809935000       , 0.103190065000        , 
USPEX_VARIABLE_W-N-2D_4683 , W3N        ,       0.00948463175000036  ,  70.80091349089676, 7.080091349089676e-15, bridge_2, ALONG_Z    , USPEX_VARIABLE_W-N-2D_4683_H_bridge_2_along_z , -0.260509715000       , 0.104490285000        , 
USPEX_VARIABLE_W-N-2D_4683 , W3N        ,       0.00948463175000036  ,  70.80091349089676, 7.080091349089676e-15, bridge_3, ALONG_Z    , USPEX_VARIABLE_W-N-2D_4683_H_bridge_3_along_z , -1.180473735000       , -0.815473735000       , 
USPEX_VARIABLE_W-N-2D_4683 , W3N        ,       0.00948463175000036  ,  70.80091349089676, 7.080091349089676e-15, bridge_4, ALONG_Z    , USPEX_VARIABLE_W-N-2D_4683_H_bridge_4_along_z , -0.261318495000       , 0.103681505000        , 
USPEX_VARIABLE_W-N-2D_4683 , W3N        ,       0.00948463175000036  ,  70.80091349089676, 7.080091349089676e-15, bridge_5, ALONG_Z    , USPEX_VARIABLE_W-N-2D_4683_H_bridge_5_along_z , -1.180902745000       , -0.815902745000       , 
USPEX_VARIABLE_W-N-2D_4683 , W3N        ,       0.00948463175000036  ,  70.80091349089676, 7.080091349089676e-15, hollow_0, ALONG_Z    , USPEX_VARIABLE_W-N-2D_4683_H_hollow_0_along_z , -1.180541155000       , -0.815541155000       , 
USPEX_VARIABLE_W-N-2D_4683 , W3N        ,       0.00948463175000036  ,  70.80091349089676, 7.080091349089676e-15, hollow_1, ALONG_Z    , USPEX_VARIABLE_W-N-2D_4683_H_hollow_1_along_z , -1.179323675000       , -0.814323675000       , 
USPEX_VARIABLE_W-N-2D_4683 , W3N        ,       0.00948463175000036  ,  70.80091349089676, 7.080091349089676e-15, hollow_2, ALONG_Z    , USPEX_VARIABLE_W-N-2D_4683_H_hollow_2_along_z , -1.179418835000       , -0.814418835000       , 
USPEX_VARIABLE_W-N-2D_4683 , W3N        ,       0.00948463175000036  ,  70.80091349089676, 7.080091349089676e-15, hollow_3, ALONG_Z    , USPEX_VARIABLE_W-N-2D_4683_H_hollow_3_along_z , -1.179294515000       , -0.814294515000       , 
USPEX_VARIABLE_W-N-2D_4683 , W3N        ,       0.00948463175000036  ,  70.80091349089676, 7.080091349089676e-15, ontop_0 , ALONG_Z    , USPEX_VARIABLE_W-N-2D_4683_H_ontop_0_along_z  , -1.178800285000       , -0.813800285000       , 
USPEX_VARIABLE_W-N-2D_4683 , W3N        ,       0.00948463175000036  ,  70.80091349089676, 7.080091349089676e-15, ontop_1 , ALONG_Z    , USPEX_VARIABLE_W-N-2D_4683_H_ontop_1_along_z  , -0.257396715000       , 0.107603285000        , 
