id, name                                          , composition               , adsorption_site_type, delta_zpe_ev        , zpe_h_star_ev      , half_zpe_h2_ev     , delta_g_h_ev
32, USPEX_VARIABLE_W-N-2D_2971_H_bridge_1_along_z , "{""N"": 3.0, ""W"": 5.0}", bridge_1            , 0.0622378565102677  , 0.20115299446663407, 0.13891513795636637, -1.7518158884897324
33, USPEX_VARIABLE_W-N-2D_2971_H_bridge_2_along_z , "{""N"": 3.0, ""W"": 5.0}", bridge_2            , 0.061588825516119966, 0.20050396347248634, 0.13891513795636637, -1.7862132294838802
34, USPEX_VARIABLE_W-N-2D_2971_H_hollow_0_along_z , "{""N"": 3.0, ""W"": 5.0}", hollow_0            , 0.15479604456290788 , 0.29371118251927425, 0.13891513795636637, -1.196152620437092
35, USPEX_VARIABLE_W-N-2D_2971_H_hollow_1_along_z , "{""N"": 3.0, ""W"": 5.0}", hollow_1            , 0.06046585512870967 , 0.19938099308507604, 0.13891513795636637, -1.7581645598712905
36, USPEX_VARIABLE_W-N-2D_2971_H_ontop_0_along_z  , "{""N"": 3.0, ""W"": 5.0}", ontop_0             , 0.06114449925271637 , 0.20005963720908274, 0.13891513795636637, -1.816024495747284
37, USPEX_VARIABLE_W-N-2D_2971_H_ontop_1_along_z  , "{""N"": 3.0, ""W"": 5.0}", ontop_1             , 0.1541526091616117  , 0.29306774711797806, 0.13891513795636637, -1.2475444558383884
38, USPEX_VARIABLE_W-N-2D_3035_H_bridge_0_along_z , "{""N"": 5.0, ""W"": 2.0}", bridge_0            , 0.019598774549847903, 0.15851391250621427, 0.13891513795636637, 1.8944828795498478
39, USPEX_VARIABLE_W-N-2D_3035_H_bridge_1_along_z , "{""N"": 5.0, ""W"": 2.0}", bridge_1            , 0.16594428226373073 , 0.3048594202200971 , 0.13891513795636637, 1.1639770872637307
40, USPEX_VARIABLE_W-N-2D_3035_H_bridge_2_along_z , "{""N"": 5.0, ""W"": 2.0}", bridge_2            , 0.046792475830717106, 0.18570761378708348, 0.13891513795636637, 0.8131948108307172
41, USPEX_VARIABLE_W-N-2D_3035_H_bridge_3_along_z , "{""N"": 5.0, ""W"": 2.0}", bridge_3            , 0.16550992178820514 , 0.3044250597445715 , 0.13891513795636637, 1.1862819967882052
42, USPEX_VARIABLE_W-N-2D_3035_H_hollow_0_along_z , "{""N"": 5.0, ""W"": 2.0}", hollow_0            , 0.045721325010994546, 0.18463646296736091, 0.13891513795636637, 0.8305767700109945
43, USPEX_VARIABLE_W-N-2D_3035_H_hollow_1_along_z , "{""N"": 5.0, ""W"": 2.0}", hollow_1            , 0.04572072393560053 , 0.1846358618919669 , 0.13891513795636637, 0.8326269489356006
44, USPEX_VARIABLE_W-N-2D_3035_H_hollow_2_along_z , "{""N"": 5.0, ""W"": 2.0}", hollow_2            , 0.16616305715525778 , 0.30507819511162415, 0.13891513795636637, 1.1604562721552578
45, USPEX_VARIABLE_W-N-2D_3035_H_hollow_3_along_z , "{""N"": 5.0, ""W"": 2.0}", hollow_3            , 0.16589186255053048 , 0.30480700050689685, 0.13891513795636637, 1.1707284575505306
46, USPEX_VARIABLE_W-N-2D_3035_H_ontop_0_along_z  , "{""N"": 5.0, ""W"": 2.0}", ontop_0             , 0.04597315179611619 , 0.18488828975248256, 0.13891513795636637, 0.8360549967961162
47, USPEX_VARIABLE_W-N-2D_3035_H_ontop_1_along_z  , "{""N"": 5.0, ""W"": 2.0}", ontop_1             , 0.16700565866518566 , 0.305920796621552  , 0.13891513795636637, 1.1955815736651858
48, USPEX_VARIABLE_W-N-2D_3596_H_bridge_0_along_z , "{""N"": 1.0, ""W"": 2.0}", bridge_0            , 0.06900442593496256 , 0.20791956389132893, 0.13891513795636637, -0.4619506890650374
49, USPEX_VARIABLE_W-N-2D_3596_H_bridge_1_along_z , "{""N"": 1.0, ""W"": 2.0}", bridge_1            , 0.06936541206591859 , 0.20828055002228496, 0.13891513795636637, -0.46267417293408136
50, USPEX_VARIABLE_W-N-2D_3596_H_bridge_2_along_z , "{""N"": 1.0, ""W"": 2.0}", bridge_2            , 0.06940429338656309 , 0.20831943134292946, 0.13891513795636637, -0.46144742161343694
